n,function,trial,loops,total_seconds,seconds_per_call
130,Mv_mult_2,4,3,0.002357006,0.000785669
130,Mv_mult_1,5,3,0.196650982,0.065550327
130,Mv_mult_2,5,3,0.002187014,0.000729005
140,Mv_mult_1,1,3,0.227414131,0.075804710
140,Mv_mult_2,1,3,0.002002954,0.000667651
140,Mv_mult_1,2,3,0.223933935,0.074644645
140,Mv_mult_2,2,3,0.002946138,0.000982046
140,Mv_mult_1,3,3,0.227164984,0.075721661
140,Mv_mult_2,3,3,0.001785994,0.000595331
140,Mv_mult_1,4,3,0.229531050,0.076510350
140,Mv_mult_2,4,3,0.002140999,0.000713666
140,Mv_mult_1,5,3,0.227089882,0.075696627
140,Mv_mult_2,5,3,0.001673937,0.000557979
150,Mv_mult_1,1,2,0.174962997,0.087481499
150,Mv_mult_2,1,2,0.002331018,0.001165509
150,Mv_mult_1,2,2,0.174140215,0.087070107
150,Mv_mult_2,2,2,0.001324177,0.000662088
150,Mv_mult_1,3,2,0.172976017,0.086488008
150,Mv_mult_2,3,2,0.002505064,0.001252532
150,Mv_mult_1,4,2,0.185251951,0.092625976
150,Mv_mult_2,4,2,0.001394033,0.000697017
150,Mv_mult_1,5,2,0.171674013,0.085837007
150,Mv_mult_2,5,2,0.001830101,0.000915051
160,Mv_mult_1,1,2,0.197239876,0.098619938
160,Mv_mult_2,1,2,0.001455784,0.000727892
160,Mv_mult_1,2,2,0.198027849,0.099013925
160,Mv_mult_2,2,2,0.001269102,0.000634551
160,Mv_mult_1,3,2,0.199009180,0.099504590
160,Mv_mult_2,3,2,0.001245022,0.000622511
160,Mv_mult_1,4,2,0.200680017,0.100340009
160,Mv_mult_2,4,2,0.001890898,0.000945449
160,Mv_mult_1,5,2,0.197221994,0.098610997
160,Mv_mult_2,5,2,0.001708031,0.000854015
170,Mv_mult_1,1,2,0.225166082,0.112583041
170,Mv_mult_2,1,2,0.001463890,0.000731945
170,Mv_mult_1,2,2,0.224314928,0.112157464
170,Mv_mult_2,2,2,0.001616955,0.000808477
170,Mv_mult_1,3,2,0.224623919,0.112311959
170,Mv_mult_2,3,2,0.001917839,0.000958920
170,Mv_mult_1,4,2,0.227504969,0.113752484
170,Mv_mult_2,4,2,0.001883030,0.000941515
170,Mv_mult_1,5,2,0.224720001,0.112360001
170,Mv_mult_2,5,2,0.002534151,0.001267076
180,Mv_mult_1,1,2,0.252660990,0.126330495
180,Mv_mult_2,1,2,0.002021790,0.001010895
180,Mv_mult_1,2,2,0.254601955,0.127300978
180,Mv_mult_2,2,2,0.001969099,0.000984550
180,Mv_mult_1,3,2,0.252465963,0.126232982
180,Mv_mult_2,3,2,0.001906872,0.000953436
180,Mv_mult_1,4,2,0.253683090,0.126841545
180,Mv_mult_2,4,2,0.002048016,0.001024008
180,Mv_mult_1,5,2,0.249814034,0.124907017
180,Mv_mult_2,5,2,0.002213001,0.001106501
190,Mv_mult_1,1,1,0.143188000,0.143188000
190,Mv_mult_2,1,1,0.000946999,0.000946999
190,Mv_mult_1,2,1,0.141873121,0.141873121
190,Mv_mult_2,2,1,0.001641989,0.001641989
190,Mv_mult_1,3,1,0.140365124,0.140365124
190,Mv_mult_2,3,1,0.001137972,0.001137972
190,Mv_mult_1,4,1,0.140069962,0.140069962
190,Mv_mult_2,4,1,0.000833035,0.000833035
190,Mv_mult_1,5,1,0.141857862,0.141857862
190,Mv_mult_2,5,1,0.001696825,0.001696825
200,Mv_mult_1,1,1,0.154396057,0.154396057
200,Mv_mult_2,1,1,0.001179934,0.001179934
200,Mv_mult_1,2,1,0.156847000,0.156847000
200,Mv_mult_2,2,1,0.001641035,0.001641035
200,Mv_mult_1,3,1,0.153574944,0.153574944
200,Mv_mult_2,3,1,0.001371861,0.001371861
200,Mv_mult_1,4,1,0.156352043,0.156352043
200,Mv_mult_2,4,1,0.001147985,0.001147985
200,Mv_mult_1,5,1,0.156170845,0.156170845
200,Mv_mult_2,5,1,0.001039028,0.001039028
